site,id,lon,lat,group
BART,NEON.PLA.D01.BART.06571,-71.28919844142993,44.06609401889223,Acer
BART,NEON.PLA.D01.BART.06572,-71.28847087355945,44.06606601289661,Acer
BART,NEON.PLA.D01.BART.06581,-71.28707164735924,44.06704724902466,Acer
BART,NEON.PLA.D01.BART.06584,-71.28730571975314,44.06778125064571,Acer
BART,NEON.PLA.D01.BART.06590,-71.28940758176071,44.06790222852534,Acer
BART,NEON.PLA.D01.BART.06580,-71.287074294548745,44.06686543912478,Acer
BART,NEON.PLA.D01.BART.06559,-71.28964114632737,44.06617125035655,Tsuga
BART,NEON.PLA.D01.BART.06536,-71.28755845344176,44.06792293241898,Acer
BART,NEON.PLA.D01.BART.06565,-71.2871323522204,44.06700999955845,Acer
BART,NEON.PLA.D01.BART.06579,-71.28713431602063,44.06660857978811,Acer
BART,NEON.PLA.D01.BART.06564,-71.28717863670084,44.06672639009324,Acer
BART,NEON.PLA.D01.BART.06595,-71.28974035697055,44.06706602980996,Acer
BART,NEON.PLA.D01.BART.06501,-71.2895017731359,44.06602768455863,Acer
BART,NEON.PLA.D01.BART.06546,-71.28976243100675,44.06739024945815,Acer
BART,NEON.PLA.D01.BART.06550,-71.28970380621296,44.06696756033526,Tsuga
BART,NEON.PLA.D01.BART.06514,-71.28776737682303,44.066068287933795,Tsuga
BART,NEON.PLA.D01.BART.06506,-71.28845605292568,44.06601217556389,Tsuga
BART,NEON.PLA.D01.BART.06526,-71.28721225388259,44.06711650017954,Tsuga
BART,NEON.PLA.D01.BART.06527,-71.28716654589539,44.06720749979861,Tsuga
BART,NEON.PLA.D01.BART.06510,-71.28808097353422,44.06607203368702,Tsuga
BART,NEON.PLA.D01.BART.06529,-71.28724069096005,44.067458250301534,Tsuga
BART,NEON.PLA.D01.BART.06552,-71.28974285364365,44.066803749643825,Tsuga
BART,NEON.PLA.D01.BART.06532,-71.28728694238409,44.06764650056795,Tsuga
BART,NEON.PLA.D01.BART.06503,-71.28884102743756,44.06607994648587,Tsuga
BART,NEON.PLA.D01.BART.06520,-71.287248971438,44.06686194056126,Tsuga
BART,NEON.PLA.D01.BART.06567,-71.28860905282556,44.067828015920384,Acer
BART,NEON.PLA.D01.BART.06545,-71.28940654094977,44.067875239916496,Tsuga
BART,NEON.PLA.D01.BART.06531,-71.28724531103967,44.06755725030459,Tsuga
BART,NEON.PLA.D01.BART.06563,-71.28959123931168,44.06617225100595,Tsuga
